Sample_ID	Experiment	TF
YPD1	YPD	WT
YPD2	YPD	WT
YPD3	YPD	WT
YPD4	YPD	WT
YPD5	YPD	WT
YPD6	YPD	WT
YPD7	YPD	dal80
YPD8	YPD	dal80
YPD9	YPD	dal80
YPD10	YPD	dal80
YPD11	YPD	dal80
YPD12	YPD	dal80
YPD13	YPD	dal81
YPD14	YPD	dal81
YPD15	YPD	dal81
YPD16	YPD	dal81
YPD17	YPD	dal81
YPD18	YPD	dal81
YPD19	YPD	dal82
YPD20	YPD	dal82
YPD21	YPD	dal82
YPD22	YPD	dal82
YPD23	YPD	dal82
YPD24	YPD	dal82
YPD25	YPD	gat1
YPD26	YPD	gat1
YPD27	YPD	gat1
YPD28	YPD	gat1
YPD29	YPD	gat1
YPD30	YPD	gat1
YPD31	YPD	gcn4
YPD32	YPD	gcn4
YPD33	YPD	gcn4
YPD34	YPD	gcn4
YPD35	YPD	gcn4
YPD36	YPD	gcn4
YPD37	YPD	gln3
YPD38	YPD	gln3
YPD39	YPD	gln3
YPD40	YPD	gln3
YPD41	YPD	gln3
YPD42	YPD	gln3
YPD43	YPD	gzf3
YPD44	YPD	gzf3
YPD45	YPD	gzf3
YPD46	YPD	gzf3
YPD47	YPD	gzf3
YPD48	YPD	gzf3
YPD49	YPD	rtg1
YPD50	YPD	rtg1
YPD51	YPD	rtg1
YPD52	YPD	rtg1
YPD53	YPD	rtg1
YPD54	YPD	rtg1
YPD55	YPD	rtg3
YPD56	YPD	rtg3
YPD57	YPD	rtg3
YPD58	YPD	rtg3
YPD59	YPD	rtg3
YPD60	YPD	rtg3
YPD61	YPD	stp1
YPD62	YPD	stp1
YPD63	YPD	stp1
YPD64	YPD	stp1
YPD65	YPD	stp1
YPD66	YPD	stp1
YPD67	YPD	stp2
YPD68	YPD	stp2
YPD69	YPD	stp2
YPD70	YPD	stp2
RAPA1	RAPA	WT
RAPA2	RAPA	WT
RAPA3	RAPA	WT
RAPA4	RAPA	WT
RAPA5	RAPA	WT
RAPA6	RAPA	WT
RAPA7	RAPA	dal80
RAPA8	RAPA	dal80
RAPA9	RAPA	dal80
RAPA10	RAPA	dal80
RAPA11	RAPA	dal80
RAPA12	RAPA	dal80
RAPA13	RAPA	dal81
RAPA14	RAPA	dal81
RAPA15	RAPA	dal81
RAPA16	RAPA	dal81
RAPA17	RAPA	dal81
RAPA18	RAPA	dal81
RAPA19	RAPA	dal82
RAPA20	RAPA	dal82
RAPA21	RAPA	dal82
RAPA22	RAPA	dal82
RAPA23	RAPA	dal82
RAPA24	RAPA	dal82
RAPA25	RAPA	gat1
RAPA26	RAPA	gat1
RAPA27	RAPA	gat1
RAPA28	RAPA	gat1
RAPA29	RAPA	gat1
RAPA30	RAPA	gat1
RAPA31	RAPA	gcn4
RAPA32	RAPA	gcn4
RAPA33	RAPA	gcn4
RAPA34	RAPA	gcn4
RAPA35	RAPA	gcn4
RAPA36	RAPA	gcn4
RAPA37	RAPA	gln3
RAPA38	RAPA	gln3
RAPA39	RAPA	gln3
RAPA40	RAPA	gln3
RAPA41	RAPA	gln3
RAPA42	RAPA	gln3
RAPA43	RAPA	gzf3
RAPA44	RAPA	gzf3
RAPA45	RAPA	gzf3
RAPA46	RAPA	gzf3
RAPA47	RAPA	gzf3
RAPA48	RAPA	gzf3
RAPA49	RAPA	rtg1
RAPA50	RAPA	rtg1
RAPA51	RAPA	rtg1
RAPA52	RAPA	rtg1
RAPA53	RAPA	rtg1
RAPA54	RAPA	rtg1
RAPA55	RAPA	rtg3
RAPA56	RAPA	rtg3
RAPA57	RAPA	rtg3
RAPA58	RAPA	rtg3
RAPA59	RAPA	rtg3
RAPA60	RAPA	rtg3
RAPA61	RAPA	stp1
RAPA62	RAPA	stp1
RAPA63	RAPA	stp1
RAPA64	RAPA	stp1
RAPA65	RAPA	stp1
RAPA66	RAPA	stp1
RAPA67	RAPA	stp2
RAPA68	RAPA	stp2
RAPA69	RAPA	stp2
RAPA70	RAPA	stp2
